Load (lbf),Resistance (Ohms)
6.51977,4223.20935
6.51683,4253.82363
6.51357,4107.80092
6.51236,4113.22363
6.51378,4095.64371
6.51646,4180.42311
6.51591,4160.56456
6.51463,4189.63701
6.51373,4130.47406
6.51291,4101.90824
6.51235,4008.40236
6.51205,3995.74489
6.51186,506385.406
1.43101,546522.314
0.00079,616115.559
0.00057,625505.434
0.00054,695171.158
0.00039,709708.489
0.00036,719190.577
0.0003,804685.222
0.00019,786595.138
0.00015,823482.633
0.00019,734864.891
0.00018,750628.17
0.00017,790519.067
0.00019,930885.591
5.00E-05,947197.191
0.00012,1074101.81
8.00E-05,1034893.33
7.00E-05,957706.232
5.00E-05,985199.653
3.00E-05,951412.254
2.00E-05,848743.568
7.00E-05,854086.798
0.00075,945196.713
0.00182,956999.96
0.00293,881214.139
0.00481,747362.591
0.00889,240310.729
0.21164,35418.64
2.41199,29499.0604
2.57909,26602.1108
2.63654,24359.8697
2.70497,22288.1851
2.77066,21256.5053
2.82965,19463.2926
2.88197,18661.5381
2.94667,16991.6868
3.03564,16478.579
3.05395,15576.0121
3.14311,14864.2428
3.2005,14461.5154
3.25392,13657.8219
3.31856,13167.3581
3.38536,12554.6006
3.44447,12188.2904
3.49815,11597.6119
3.57293,11155.6272
3.63485,10655.6874
3.69383,10426.3843
3.7555,10146.5841
3.81439,9658.21116
3.88461,9338.81175
3.95009,9056.70819
4.01255,8750.84251
4.07251,8830.90357
4.13151,8490.88925
4.19269,8362.56402
4.26228,8000.51941
4.32199,7920.22927
4.39453,7684.75391
4.44023,7446.00186
4.49522,7240.38207
4.55663,6902.08887
4.6402,6955.21405
4.67004,6687.55209
4.73564,6727.58164
4.80823,6425.15414
4.85872,6382.20647
4.9184,6176.72587
5.0029,5935.81868
5.05215,5819.70253
5.1299,5708.34957
5.17676,5752.68201
5.23599,5625.04709
5.30151,5308.4354
5.37831,5281.51962
5.43162,5385.41634
5.4763,5189.98219
5.55236,4931.52384
5.6277,5066.04243
5.67188,4863.19882
5.73434,4792.70293
5.80632,4831.19863
5.8997,4608.5002
5.91754,4560.02104
5.93589,4588.69848
6.02177,4409.80144
6.09892,4504.02661
6.1488,4272.40656
6.20393,4403.78151
6.27039,4240.07275
6.31248,4067.74225
6.38534,4204.39915
6.44684,4152.11131
6.49413,3952.5817
6.51047,4126.65666
6.51845,4144.35617
6.52023,4122.50467
6.52096,4126.29353
6.52049,4057.36178
6.52,4066.70618
6.52019,3990.03579
6.52064,4042.43981
6.51978,12006.1175
6.47894,534283.845
0.00096,589517.285
0.00072,566827.461
0.00063,614452.07
0.00057,633839.931
0.00058,648479.648
0.00042,752039.414
0.0004,845001.365
0.00043,839294.177
0.0004,838216.285
0.00035,774043.94
0.00022,767979.6
0.00016,891368.139
0.00033,943838.945
0.00021,958122.33
0.00019,981597.697
0.00017,1067890.3
0.00022,1054749.08
0.00022,979417.394
0.00014,986088.634
0.0001,975541.209
0.0001,972540.65
0.0001,845135.087
0.00019,867848.763
8.00E-05,892606.214
0,899195.823
0.00017,761582.047
0.00024,775981.592
0.00112,764255.424
0.00203,828030.751
0.00311,818914.84
0.0047,639747.111
0.00714,696704.414
0.01903,31994.2868
1.75908,22743.4154
2.9271,19923.6908
2.99144,18655.4848
3.04176,17313.9811
3.09807,15858.2062
3.16908,14919.1435
3.23853,14172.7666
3.29664,13414.5271
3.35525,12949.7542
3.41493,12464.6337
3.48566,12136.3323
3.54047,11443.2834
3.59988,11056.2528
3.66838,10627.1913
3.7306,10244.4362
3.79147,9890.43875
3.86719,9715.37104
3.90505,9389.09908
3.96825,9165.31359
4.02676,8980.30123
4.09407,8475.95184
4.15707,8402.08601
4.21046,8024.41907
4.29452,7827.13744
4.34318,7685.03328
4.40793,7553.33576
4.4668,7204.9842
4.5269,6989.87007
4.59383,6825.5549
4.66035,6828.33784
4.7107,6625.00488
4.78914,6338.04766
4.83985,6324.57746
4.89266,6048.90678
4.97455,5944.77302
5.03119,5756.54053
5.1079,5760.47843
5.1494,5537.3875
5.22045,5361.02382
5.28111,5497.46811
5.34455,5350.69392
5.40777,5144.17598
5.46042,5042.43185
5.5252,5005.18196
5.60351,4871.83125
5.64713,4822.26725
5.71447,4749.16026
5.79186,4756.09797
5.8485,4499.82237
5.91019,4582.31372
5.96474,4445.12604
6.02742,4389.14871
6.09425,4356.94518
6.14475,4347.19805
6.21974,4173.88221
6.27571,4296.96014
6.33972,4257.70458
6.40394,4076.25942
6.46178,4036.51708
6.51533,3999.32113
6.52093,3981.66536
6.51813,4034.50531
6.51515,4057.79373
6.51457,3897.97278
6.51631,4009.54998
6.51672,3777.24118
6.51518,3925.03645
6.51336,4083.04983
6.5115,3932.17072
6.50963,3995.64254
6.508,4005.69761
6.50638,3949.70148
6.50493,4040.11478
6.50369,680206.242
4.05145,486105.347
0.00107,575250.007
0.00093,567629.941
0.00061,557841.121
0.00066,569021.923
0.00066,567872.671
0.00059,676983.617
0.00049,744547.731
0.00047,644566.252
0.00039,674814.684
0.0004,788159.759
0.00043,788085.78
0.0004,793803.382
0.00036,847828.09
0.00028,845385.259
0.00028,799257.327
0.00028,876159.367
0.00031,846748.078
0.00026,865608.879
0.00025,840433.258
0.00109,859695.342
0.00215,867841.846
0.00366,826394.028
0.00569,851884.64
0.01306,46233.2627
1.30577,27043.9599
2.64422,24904.8479
2.64343,22891.1241
2.72636,20894.3981
2.80393,19617.3678
2.84789,18024.9897
2.92629,17058.6601
2.98664,16373.0924
3.03609,15520.5323
3.11086,14781.2472
3.17226,13991.5772
3.22515,13454.9598
3.29317,12846.5654
3.35812,12404.984
3.41512,11832.0633
3.4753,11232.1373
3.54461,11062.5107
3.6056,10535.3112
3.66496,10092.2336
3.73036,10034.4187
3.7867,9512.7572
3.86528,9335.37725
3.91506,8928.46422
3.98362,8667.30278
4.04605,8614.98546
4.10373,8298.79021
4.16987,7969.32646
4.22801,7981.52057
4.29739,7595.32547
4.36278,7570.38961
4.41057,7381.1985
4.48246,7251.19783
4.53988,6954.57425
4.61669,6614.02519
4.65655,6572.84461
4.71975,6377.25903
4.79499,6332.16412
4.84116,6214.54241
4.90751,6019.88005
4.98406,5906.73634
5.03718,5855.05635
5.10996,5694.6584
5.14509,5560.0409
5.21384,5458.53747
5.2788,5342.58153
5.34537,5298.36485
5.40744,5198.22514
5.45742,5012.15889
5.51865,4822.81719
5.59506,4815.03303
5.64795,4874.8727
5.71201,4626.51319
5.79001,4574.6627
5.86104,4500.4994
5.8972,4463.52891
5.93048,4375.53139
6.01342,4234.41328
6.08474,4280.4096
6.13626,4216.42931
6.19462,4202.54378
6.26324,4354.77897
6.31737,4083.04267
6.38497,3973.37439
6.43967,4146.89945
6.49722,3812.65738
6.51807,4088.98489
6.52184,4165.31154
6.51999,4022.08818
6.51746,4113.92614
6.51515,4016.96624
6.51516,4040.1816
6.51831,4022.39475
6.52239,4002.76354
6.52439,4116.41796
6.52707,4082.14443
6.53024,4101.30948
6.53348,3914.52222
6.53562,585125.696
0.00095,566863.778
0.00091,554519.78
0.00086,601043.407
0.00087,594731.852
0.00073,612183.805
0.00064,633056.251
0.00059,674674.314
0.0005,721399.161
0.00064,642982.653
0.00059,702449.422
0.00047,766978.876
0.00054,740641.288
0.00042,809911.081
0.0005,723206.384
0.00042,767947.479
0.00035,791123.837
0.00047,767992.217
0.00038,803419.053
0.00045,782451.949
0.00035,832114.532
0.00029,847124.64
0.00033,854949.822
0.00035,800804.404
0.00019,835787.834
0.0003,787754.34
0.00029,785600.678
0.00023,793453.504
0.00022,826958.361
0.00019,870232.673
